1001,AL,Autauga County,2010_Census_Population,54571
1003,AL,Baldwin County,2010_Census_Population,182265
1005,AL,Barbour County,2010_Census_Population,27457
1007,AL,Bibb County,2010_Census_Population,22915
1009,AL,Blount County,2010_Census_Population,57322
1011,AL,Bullock County,2010_Census_Population,10914
1013,AL,Butler County,2010_Census_Population,20947
1015,AL,Calhoun County,2010_Census_Population,118572
1017,AL,Chambers County,2010_Census_Population,34215
1019,AL,Cherokee County,2010_Census_Population,25989
1021,AL,Chilton County,2010_Census_Population,43643
1023,AL,Choctaw County,2010_Census_Population,13859
1025,AL,Clarke County,2010_Census_Population,25833
1027,AL,Clay County,2010_Census_Population,13932
1029,AL,Cleburne County,2010_Census_Population,14972
1031,AL,Coffee County,2010_Census_Population,49948
1033,AL,Colbert County,2010_Census_Population,54428
1035,AL,Conecuh County,2010_Census_Population,13228
1037,AL,Coosa County,2010_Census_Population,11539
1039,AL,Covington County,2010_Census_Population,37765
1041,AL,Crenshaw County,2010_Census_Population,13906
1043,AL,Cullman County,2010_Census_Population,80406
1045,AL,Dale County,2010_Census_Population,50251
1047,AL,Dallas County,2010_Census_Population,43820
1049,AL,DeKalb County,2010_Census_Population,71109
1051,AL,Elmore County,2010_Census_Population,79303
1053,AL,Escambia County,2010_Census_Population,38319
1055,AL,Etowah County,2010_Census_Population,104430
1057,AL,Fayette County,2010_Census_Population,17241
1059,AL,Franklin County,2010_Census_Population,31704
1061,AL,Geneva County,2010_Census_Population,26790
1063,AL,Greene County,2010_Census_Population,9045
1065,AL,Hale County,2010_Census_Population,15760
1067,AL,Henry County,2010_Census_Population,17302
1069,AL,Houston County,2010_Census_Population,101547
1071,AL,Jackson County,2010_Census_Population,53227
1073,AL,Jefferson County,2010_Census_Population,658466
1075,AL,Lamar County,2010_Census_Population,14564
1077,AL,Lauderdale County,2010_Census_Population,92709
1079,AL,Lawrence County,2010_Census_Population,34339
1081,AL,Lee County,2010_Census_Population,140247
1083,AL,Limestone County,2010_Census_Population,82782
1085,AL,Lowndes County,2010_Census_Population,11299
1087,AL,Macon County,2010_Census_Population,21452
